Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Carbón y Leña,Carbón y Leña,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Carbón,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Biogás,Millones m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Geotermia,Gwh,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Diésel,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Nafta,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Electricidad,Gwh,,0.0,,,,,
Carbón y Leña,Carbón y Leña,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Coque,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Alquitrán,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0
Carbón y Leña,Carbón y Leña,Metanol,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Natural,Millones m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Carbón,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Biomasa,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Energía Eólica,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Energía Solar,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Biogás,Millones m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Geotermia,Gwh,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Diésel,Mil m3,,154.6432285,,,,0.04570348927855546,0.04554748453395738
Electricidad,Electricidad,Petróleo Combustible,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Kerosene,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas Licuado,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Kerosene de Aviación,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Nafta,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0
Electricidad,Electricidad,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0
Electricidad,Electricidad,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0
